time,open,high,low,close
2022-01-29T00:00:00Z,23478.05,24692.93,23411.15,24285.07
2022-01-30T00:00:00Z,24284.25,25573.51,23429.74,23852.62
2022-01-31T00:00:00Z,23819.34,24850,22855.23,24834.07
2022-02-01T00:00:00Z,24833.04,25500,24563.84,25460
2022-02-02T00:00:00Z,25457.91,25728.47,22899.92,23003.74
2022-02-03T00:00:00Z,23018.37,23640,22500,23602.47
2022-02-04T00:00:00Z,23603.93,24900,23418.04,24873.28
2022-02-05T00:00:00Z,24873.31,25888,24639.14,25163.4
2022-02-06T00:00:00Z,25179.3,25375.81,23681.6,24591.46
2022-02-07T00:00:00Z,24601.76,27059.65,23912.76,26555.49
2022-02-08T00:00:00Z,26572.91,27080.85,24777,25510
2022-02-09T00:00:00Z,25534.24,26877.99,24778.66,26292.46
2022-02-10T00:00:00Z,26298.37,26298.37,24254.28,24425.03
2022-02-11T00:00:00Z,24427.75,25024.14,22728.47,23102.71
2022-02-12T00:00:00Z,23097.93,23800.31,22647.58,23129.03
2022-02-13T00:00:00Z,23159.27,23660.78,22656.3,22879.82
2022-02-14T00:00:00Z,22879.43,23302.99,22390.69,23071.25
2022-02-15T00:00:00Z,23066.71,24650,23020.25,24475.27
2022-02-16T00:00:00Z,24472.71,24522.42,23131.29,23694.06
2022-02-17T00:00:00Z,23696.81,23971.77,22049.18,22444.01
2022-02-18T00:00:00Z,22456.08,23041.13,21700,21949.61
2022-02-19T00:00:00Z,21946.33,22223.75,21357.89,21670.89
2022-02-20T00:00:00Z,21667.74,21686.53,20085.91,20673.46
2022-02-21T00:00:00Z,20682.42,21909.68,19578.09,19661.69
2022-02-22T00:00:00Z,19657.09,21000,19170.24,20619.04
2022-02-23T00:00:00Z,20629.05,21268.13,20200,20327.96
2022-02-24T00:00:00Z,20337.09,20577.46,17120,19416.2
2022-02-25T00:00:00Z,19428.76,20373.62,18841.73,20168.25
2022-02-26T00:00:00Z,20175.38,21401.76,20134.61,20878.09
2022-02-27T00:00:00Z,20887.89,21046.34,19088.41,19405.28
2022-02-28T00:00:00Z,19420.73,21579.22,19045.61,21558.39
2022-03-01T00:00:00Z,21567.17,22337.11,20998.41,21747.26
2022-03-02T00:00:00Z,21747.26,22464.51,21059.77,22349.29
2022-03-03T00:00:00Z,22353.79,22658.14,20918.53,21693.94
2022-03-04T00:00:00Z,21693.94,21978.76,19623.43,19886.64
2022-03-05T00:00:00Z,19897.96,20552.87,19434.34,20260.87
2022-03-06T00:00:00Z,20268.49,20328.8,17314.82,18253.5
2022-03-07T00:00:00Z,18248.86,19982.85,17777,18388.1
2022-03-08T00:00:00Z,18380.58,21217.17,18273.86,19346.71
2022-03-09T00:00:00Z,19361.93,20568.23,19252.28,20399.99
2022-03-10T00:00:00Z,20398.72,20423.64,18646.38,19039.77
2022-03-11T00:00:00Z,19050,19319.01,18237.9,18542.21
2022-03-12T00:00:00Z,18537.22,18930.4,18312.65,18383.31
2022-03-13T00:00:00Z,18396.69,18720.41,17832.89,18033.46
2022-03-14T00:00:00Z,18030.13,18771.64,17900,18535.67
2022-03-15T00:00:00Z,18529.37,18734.63,17821.2,18492.92
2022-03-16T00:00:00Z,18503.63,19262.5,18267.39,19208.31
2022-03-17T00:00:00Z,19203.05,19750,18876.14,19394.49
2022-03-18T00:00:00Z,19409.76,20799,18988.97,20581.87
2022-03-19T00:00:00Z,20570.84,21018.88,20248.3,20659.74
2022-03-20T00:00:00Z,20666.26,20823.34,19566.32,19918.53
2022-03-21T00:00:00Z,19922.36,20598.84,19670.29,20360.92
2022-03-22T00:00:00Z,20359.19,21110.65,19933.76,20293.47
2022-03-23T00:00:00Z,20317.23,20546.8,19929.34,20444.06
2022-03-24T00:00:00Z,20444.06,21381.59,20188.58,21205.19
2022-03-25T00:00:00Z,21205.41,21703.42,20391.08,20592.14
2022-03-26T00:00:00Z,20586.54,21236.4,20411.4,21149.81
2022-03-27T00:00:00Z,21158.27,22299.99,20673.58,22258.84
2022-03-28T01:00:00+01:00,22258.83,24000,22000,22266.65
2022-03-29T01:00:00+01:00,22264.74,23860,22000,23326.98
2022-03-30T01:00:00+01:00,23317.3,24579.34,22574.43,24043.32
2022-03-31T01:00:00+01:00,24037.32,24300,22102.27,22227.27
2022-04-01T01:00:00+01:00,22219.54,23579.51,21534.03,23478.29
2022-04-02T01:00:00+01:00,23494.68,24000,22808.46,23320.5
2022-04-03T01:00:00+01:00,23336.36,25445.25,22780,25227.7
2022-04-04T01:00:00+01:00,25216.52,25459.72,23017.54,23866.89
2022-04-05T01:00:00+01:00,23866.88,24452.94,23330.77,23546.08
2022-04-06T01:00:00+01:00,23551.27,24100,21555,21702.76
2022-04-07T01:00:00+01:00,21700.98,22005.27,21002.36,21288.57
2022-04-08T01:00:00+01:00,21282.12,21909.1,20454.44,20542.67
2022-04-09T01:00:00+01:00,20542.67,20676.68,20205.21,20638.73
2022-04-10T01:00:00+01:00,20654,20919.03,20000,20139.43
2022-04-11T01:00:00+01:00,20146.61,20192.47,18212.1,18522.68
2022-04-12T01:00:00+01:00,18527.32,19422.51,18310.68,18837.89
2022-04-13T01:00:00+01:00,18826.59,19500.72,18574.88,19416.73
2022-04-14T01:00:00+01:00,19409.14,19602.31,18659.47,18822.94
2022-04-15T01:00:00+01:00,18832.95,19290,18737.2,19092.27
2022-04-16T01:00:00+01:00,19100.49,19349.98,18748.01,19103.57
2022-04-17T01:00:00+01:00,19106.23,19424.25,18575.46,18702.95
2022-04-18T01:00:00+01:00,18704.78,19173.1,17982.66,19118.7
2022-04-19T01:00:00+01:00,19138.01,19613.26,18877.96,19435.31
2022-04-20T01:00:00+01:00,19434.13,19481.96,18847.63,19175.48
2022-04-21T01:00:00+01:00,19172.17,20261.62,18626.21,18783.53
2022-04-22T01:00:00+01:00,18785.34,19143.7,18441.59,18674.18
2022-04-23T01:00:00+01:00,18670.56,18774.46,18264.94,18352.61
